VER : 2,,././simple_cap_withGP_702um_verticalslice.csv
emvu,16.56, Exported Data from:,simple_cap_withGP
Frequency:,4.9e+08
Drive:,Port 1,V,1,P,0,Port 2,V,-1,P,0,
theLevel:,0,0
Export Positions in:,UM,1e-06
Export Steps:,1,UM, by,1,UM,Area,1,MKS Area,1e-12,m^2
JXY Magnitude,Complex Form,Amps/Meter
X Directed
Y Position
X Position ->,702.000000
859.500000, -0.0414148 -0.04927766j
858.500000, -0.0414148 -0.04927766j
857.500000, -0.0414148 -0.04927766j
856.500000, -0.0414148 -0.04927766j
855.500000, -0.0153073 -0.01825976j
854.500000, -0.0153073 -0.01825976j
853.500000, -0.0153073 -0.01825976j
852.500000, -0.0153073 -0.01825976j
851.500000, -0.0153073 -0.01825976j
850.500000, -0.0153073 -0.01825976j
849.500000, -0.0153073 -0.01825976j
848.500000, -0.0153073 -0.01825976j
847.500000, -0.0119064 -0.01414022j
846.500000, -0.0119064 -0.01414022j
845.500000, -0.0119064 -0.01414022j
844.500000, -0.0119064 -0.01414022j
843.500000, -0.0119064 -0.01414022j
842.500000, -0.0119064 -0.01414022j
841.500000, -0.0119064 -0.01414022j
840.500000, -0.0119064 -0.01414022j
839.500000, -0.0119064 -0.01414022j
838.500000, -0.0119064 -0.01414022j
837.500000, -0.0119064 -0.01414022j
836.500000, -5.9542e-4 -0.00187207j
835.500000, -5.9542e-4 -0.00187207j
834.500000, -5.9542e-4 -0.00187207j
833.500000, -5.9542e-4 -0.00187207j
832.500000, -5.9542e-4 -0.00187207j
831.500000, -5.9542e-4 -0.00187207j
830.500000, -5.9542e-4 -0.00187207j
829.500000, -5.9542e-4 -0.00187207j
828.500000, -5.9542e-4 -0.00187207j
827.500000, -5.9542e-4 -0.00187207j
826.500000, 0.26123745 +0.12604737j
825.500000, 0.26123745 +0.12604737j
824.500000, 0.26123745 +0.12604737j
823.500000, 0.26123745 +0.12604737j
822.500000, 0.26123745 +0.12604737j
821.500000, 0.26123745 +0.12604737j
820.500000, 0.26123745 +0.12604737j
819.500000, 0.28689590 +0.13339284j
818.500000, 0.28689590 +0.13339284j
817.500000, 0.28689590 +0.13339284j
816.500000, 0.28689590 +0.13339284j
815.500000, 0.25059286 +0.11987172j
814.500000, 0.25059286 +0.11987172j
813.500000, 0.25860884 +0.13144416j
812.500000, 0.25039593 +0.13694665j
811.500000, 0.22130846 +0.12933602j
810.500000, 0.22130846 +0.12933602j
809.500000, 0.12754231 +0.07369157j
808.500000, 0.12754231 +0.07369157j
807.500000, 0.12754231 +0.07369157j
806.500000, 0.12754231 +0.07369157j
805.500000, 0.11753205 +0.06750983j
804.500000, 0.11753205 +0.06750983j
803.500000, 0.11753205 +0.06750983j
802.500000, 0.11753205 +0.06750983j
801.500000, 0.11753205 +0.06750983j
800.500000, 0.11753205 +0.06750983j
799.500000, 0.11753205 +0.06750983j
798.500000, 0.12509387 +0.07141309j
797.500000, 0.12509387 +0.07141309j
796.500000, 0.12509387 +0.07141309j
795.500000, 0.12509387 +0.07141309j
794.500000, 0.12509387 +0.07141309j
793.500000, 0.12509387 +0.07141309j
792.500000, 0.12509387 +0.07141309j
791.500000, 0.09850324 +0.05821630j
790.500000, 0.09850324 +0.05821630j
789.500000, 0.09850324 +0.05821630j
788.500000, 0.09850324 +0.05821630j
787.500000, 0.09850324 +0.05821630j
786.500000, 0.09850324 +0.05821630j
785.500000, 0.09850324 +0.05821630j
784.500000, 0.45941374 +0.23711547j
783.500000, 0.45941374 +0.23711547j
782.500000, 0.45941374 +0.23711547j
781.500000, 0.45941374 +0.23711547j
780.500000, 0.99921413 +0.49398217j
779.500000, 0.99921413 +0.49398217j
778.500000, 0.62437791 +0.29447981j
777.500000, 0.35639999 +0.15140525j
776.500000, 0.08753533 +0.00669469j
775.500000, 0.08753533 +0.00669469j
774.500000, 0.08336755 +0.00308803j
773.500000, 0.08336755 +0.00308803j
772.500000, 0.08336755 +0.00308803j
771.500000, 0.08336755 +0.00308803j
770.500000, 0.07016526 -0.00267725j
769.500000, 0.07016526 -0.00267725j
768.500000, 0.07016526 -0.00267725j
767.500000, 0.07016526 -0.00267725j
766.500000, 0.07016526 -0.00267725j
765.500000, 0.07016526 -0.00267725j
764.500000, 0.07016526 -0.00267725j
763.500000, 0.07016526 -0.00267725j
762.500000, -0.8605275 -0.42263697j
761.500000, -0.8605275 -0.42263697j
760.500000, -0.8605275 -0.42263697j
759.500000, -0.8605275 -0.42263697j
758.500000, -0.8605275 -0.42263697j
757.500000, -0.8605275 -0.42263697j
756.500000, -0.8605275 -0.42263697j
755.500000, -0.8605275 -0.42263697j
754.500000, -0.8605275 -0.42263697j
753.500000, -0.8605275 -0.42263697j
752.500000, -0.8605275 -0.42263697j
751.500000, -0.8605275 -0.42263697j
750.500000, -0.8605275 -0.42263697j
749.500000, -0.8605275 -0.42263697j
748.500000, -0.8605275 -0.42263697j
747.500000, -0.8605275 -0.42263697j
746.500000, -0.8654060 -0.42431583j
745.500000, -0.8654060 -0.42431583j
744.500000, -0.8654060 -0.42431583j
743.500000, -0.8654060 -0.42431583j
742.500000, -0.8654060 -0.42431583j
741.500000, -0.8654060 -0.42431583j
740.500000, -0.8654060 -0.42431583j
739.500000, -0.8654060 -0.42431583j
738.500000, -0.8654060 -0.42431583j
737.500000, -0.8654060 -0.42431583j
736.500000, -0.8654060 -0.42431583j
735.500000, -0.8654060 -0.42431583j
734.500000, -0.8654060 -0.42431583j
733.500000, -0.8654060 -0.42431583j
732.500000, -0.8654060 -0.42431583j
731.500000, -0.8654060 -0.42431583j
730.500000, -0.3763879 -0.52339630j
729.500000, -0.3763879 -0.52339630j
728.500000, -0.3763879 -0.52339630j
727.500000, -0.3763879 -0.52339630j
726.500000, -0.3763879 -0.52339630j
725.500000, -0.3763879 -0.52339630j
724.500000, -0.3763879 -0.52339630j
723.500000, -0.3763879 -0.52339630j
722.500000, -0.3763879 -0.52339630j
721.500000, -0.3763879 -0.52339630j
720.500000, -0.3763879 -0.52339630j
719.500000, -0.3763879 -0.52339630j
718.500000, -0.3763879 -0.52339630j
717.500000, -0.3763879 -0.52339630j
716.500000, -0.3763879 -0.52339630j
715.500000, -0.3763879 -0.52339630j
714.500000, -0.3615460 -1.02526038j
713.500000, -0.3615460 -1.02526038j
712.500000, -0.3615460 -1.02526038j
711.500000, -0.3615460 -1.02526038j
710.500000, -0.3615460 -1.02526038j
709.500000, -0.3615460 -1.02526038j
708.500000, -0.3615460 -1.02526038j
707.500000, -0.3615460 -1.02526038j
706.500000, -0.3233050 -0.63445534j
705.500000, -0.3233050 -0.63445534j
704.500000, -0.3233050 -0.63445534j
703.500000, -0.3233050 -0.63445534j
702.500000, -0.1983595 -0.41315374j
701.500000, -0.1983595 -0.41315374j
700.500000, -0.1876389 -0.30581903j
699.500000, -0.1373003 -0.18161247j
698.500000, -0.0337847 +0.07050253j
697.500000, -0.0337847 +0.07050253j
696.500000, 0.18078697 +0.69797092j
695.500000, 0.18078697 +0.69797092j
694.500000, 0.33493319 +1.55499784j
693.500000, 0.33493319 +1.55499784j
692.500000, 0.33997313 +2.09493792j
691.500000, 1.17770338 +2.46566728j
690.500000, 1.31162880 +2.73297320j
689.500000, 0.25820574 +0.52621105j
688.500000, 0.06653310 +0.22415074j
687.500000, 0.07951913 +0.29519740j
686.500000, 0.07930490 +0.29495193j
685.500000, 0.10376379 +0.20890976j
684.500000, -4.6031e-3 -0.01929646j
683.500000, 0.00263247 +0.00482659j
682.500000, 0.00263247 +0.00482659j
681.500000, 0.01037365 +0.02157762j
680.500000, 0.01037365 +0.02157762j
679.500000, -8.1542e-3 -0.03461048j
678.500000, -0.0191945 -0.07161682j
677.500000, 0.00225881 +0.01986110j
676.500000, 0.00225881 +0.01986110j
675.500000, 0.03538556 +0.07382887j
674.500000, 0.00406735 +0.07105029j
673.500000, 0.00273373 -0.00851559j
672.500000, 0.00273373 -0.00851559j
671.500000, -3.0158e-3 -0.00759981j
670.500000, -3.0158e-3 -0.00759981j
669.500000, -2.7299e-3 +0.00697464j
