R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
302.5000000000000,2.8720444403423,-1262.689986996,2.8720649575932,-1263.135859676,2.8720649575932,-1263.135859676,2.8721172238664,-1262.737999241
305.0000000000000,2.8407042868348,-1252.335652872,2.8407242246655,-1252.785196682,2.8407242246655,-1252.785196682,2.8407776999977,-1252.384063640
307.5000000000000,2.8099796518911,-1242.149589995,2.8099990279342,-1242.602805320,2.8099990279342,-1242.602805320,2.8100536906067,-1242.198399239
310.0000000000000,2.7798534285417,-1232.127728580,2.7798722602876,-1232.584615802,2.7798722602876,-1232.584615802,2.7799280887104,-1232.176936254
312.5000000000000,2.7503091251930,-1222.266129034,2.7503274299895,-1222.726688533,2.7503274299895,-1222.726688533,2.7503844027024,-1222.315735091
315.0000000000000,2.7213308385431,-1212.560976793,2.7213486335958,-1213.025208945,2.7213486335958,-1213.025208945,2.7214067292687,-1212.610981186
317.5000000000000,2.6929032278990,-1203.008577398,2.6929205302712,-1203.476482575,2.6929205302712,-1203.476482575,2.6929797277046,-1203.058980081
320.0000000000000,2.6650114908041,-1193.605351807,2.6650283174164,-1194.076930380,2.6650283174164,-1194.076930380,2.6650885955425,-1193.656152735
322.5000000000000,2.6376413399312,-1184.347831923,2.6376577075621,-1184.823084260,2.6376577075621,-1184.823084260,2.6377190454452,-1184.399031050
325.0000000000000,2.6107789810775,-1175.232656327,2.6107949063628,-1175.711582793,2.6107949063628,-1175.711582793,2.6108572832001,-1175.284253610
327.5000000000000,2.5844110924031,-1166.256566210,2.5844265918363,-1166.739167165,2.5844265918363,-1166.739167165,2.5844899869585,-1166.308561603
330.0000000000000,2.5585248045187,-1157.416401484,2.5585398944510,-1157.902677287,2.5585398944510,-1157.902677287,2.5586042873228,-1157.468794943
332.5000000000000,2.5331076817444,-1148.709097072,2.5331223783845,-1149.199048079,2.5331223783845,-1149.199048079,2.5331877486054,-1148.761888553
335.0000000000000,2.5081477041225,-1140.131679368,2.5081620235366,-1140.625305932,2.5081620235366,-1140.625305932,2.5082283508417,-1140.184868829
337.5000000000000,2.4836332504538,-1131.681262846,2.4836472085657,-1132.178565316,2.4836472085657,-1132.178565316,2.4837144728262,-1131.734850243
340.0000000000000,2.4595530820309,-1123.355046823,2.4595666946219,-1123.856025547,2.4595666946219,-1123.856025547,2.4596348758457,-1123.409032115
342.5000000000000,2.4358963272374,-1115.150312368,2.4359096099464,-1115.654967690,2.4359096099464,-1115.654967690,2.4359786882788,-1115.204695512
